goal,shot_statsbomb_xg,minute,x_m,y_m,distance_to_goal,angle_to_goal,angle_to_goal_deg,distance_to_goal_sq,log_distance,is_first_half,is_extra_time,distance_x_angle,play_pattern_encoded,shot_body_part_LeftFoot,shot_body_part_OtherBodyPart,shot_body_part_RightFoot,shot_type_OpenPlay,shot_type_Penalty,shot_type_SetPiece,zone_wide_right,distance_bucket_10-20,distance_bucket_20-30,distance_bucket_30-40,distance_bucket_40+,angle_bucket_nan,shot_type_FromCorner
0,0.0068775634,10,79.45,16.231155778894472,31.12128411479699,0.19336377525377413,11.078928232757447,968.5343249539154,3.4695188669468386,1,0,6.017728987182456,3,False,False,True,True,False,False,False,False,False,True,False,False,False
0,0.19758572,13,97.825,33.57286432160804,7.187702684986026,0.9411241560271839,53.92244213816922,51.66306988775533,2.1026333560731003,1,0,6.764520623181798,3,False,False,False,True,False,False,True,False,False,False,False,False,False
0,0.03577913,20,82.16250000000001,41.94472361809046,24.179951191386714,0.28467920523089896,16.310916974869098,584.6700396178437,3.2260480902261857,1,0,6.883529287685898,2,False,False,True,True,False,False,False,False,True,False,False,False,False
0,0.006838626,29,78.925,16.06030150753769,31.65025129442821,0.1907717391441629,10.930415503331213,1001.7384070004545,3.485852552306243,1,0,6.037973483787862,3,False,False,True,True,False,False,False,False,False,True,False,False,False
0,0.031175608,38,91.4375,47.753768844221106,19.315992432962567,0.26928791026773347,15.429060732238755,373.10756367026715,3.0114083804720346,1,0,5.201563237019842,0,False,False,True,True,False,False,False,True,False,False,False,False,False
0,0.041324764,38,97.125,21.271356783919597,14.967764800472704,0.2671275059916033,15.305278685174478,224.0339831222697,2.7705719900313146,1,0,3.998301681419181,0,True,False,False,True,False,False,True,True,False,False,False,False,False
0,0.018697426,40,78.1375,43.39698492462311,28.45869343317774,0.2420319697180726,13.867410372083704,809.8972319235938,3.382989059513894,1,0,6.887913627234786,2,True,False,False,True,False,False,False,False,True,False,False,False,False
0,0.07827923,45,96.8625,28.361809045226135,9.899904216329261,0.6133999354224516,35.145227453303725,98.00810349249389,2.3887540017037594,1,0,6.0726006069848255,2,False,False,False,True,False,False,True,False,False,False,False,False,False
0,0.023992674,48,77.6125,39.21105527638191,27.878849569942943,0.2566714682326156,14.706191851155058,777.2302533435078,3.3631094783954265,0,0,7.15570525175348,2,False,False,True,True,False,False,False,False,True,False,False,False,False
0,0.09305495,54,93.3625,41.4321608040201,13.808273623694339,0.44795793420003926,25.66609902906129,190.6684204668128,2.695186053199772,0,0,6.185525727339006,3,False,False,True,True,False,False,True,True,False,False,False,False,False
0,0.032857098,58,81.02499999999999,28.190954773869347,24.6687176691297,0.28675165241890915,16.42965945200584,608.5456314392318,3.2452730391798763,0,0,7.073795554678482,1,True,False,False,True,False,False,False,False,True,False,False,False,False
0,0.053034723,61,89.425,40.40703517587939,16.841339755047873,0.39923194262954015,22.874305359481664,283.63072474495596,2.881518222709244,0,0,6.723600786891866,3,False,False,True,True,False,False,True,True,False,False,False,False,False
0,0.03701639,64,90.03750000000001,35.45226130653266,15.032813081803809,0.47573055853069596,27.25735318921026,225.98546915245174,2.7746374397968094,0,0,7.151568563694079,3,False,False,True,True,False,False,True,True,False,False,False,False,False
1,0.061114587,67,86.625,44.08040201005026,20.958414293171735,0.3059280739367729,17.528387471143287,439.25512968422527,3.0891504051621825,0,0,6.411767317478961,3,False,False,True,True,False,False,False,False,True,False,False,False,False
0,0.032599345,70,93.10000000000001,22.55276381909548,16.51209302848701,0.3241444200876443,18.572107223737603,272.64921618140926,2.862891672477295,0,0,5.352302819152156,3,False,False,True,True,False,False,True,True,False,False,False,False,False
0,0.09148145,75,87.325,32.80402010050251,17.715416814740824,0.40663623551091715,23.298540091863327,313.8359929200019,2.92934761280172,0,0,7.203730404053012,2,False,False,True,False,False,False,True,True,False,False,False,False,False
