goal,shot_statsbomb_xg,minute,second,possession,play_pattern,possession_team,team,player,shot_body_part,shot_technique,shot_type,under_pressure,off_camera,shot_outcome,x,y,competition
0,0.0053864527,83,30,174,0,1,1,4,1,0,1,,,4,86.6,57.1,Indian Super league 2021/2022
0,0.008032845,93,2,190,1,1,1,9,2,2,0,,,0,81.2,35.8,Indian Super league 2021/2022
0,0.15419321,6,34,14,5,0,0,6,2,2,1,,,3,117.0,48.0,Indian Super league 2021/2022
0,0.01531401,6,35,14,5,0,0,10,2,1,1,,,2,115.9,54.2,Indian Super league 2021/2022
0,0.06381483,13,50,29,5,0,0,12,0,2,1,,,2,108.5,48.3,Indian Super league 2021/2022
0,0.074514166,18,7,35,4,1,1,1,0,2,1,,,4,109.9,35.7,Indian Super league 2021/2022
0,0.053974938,18,49,38,5,0,0,10,2,2,1,,,3,99.7,46.8,Indian Super league 2021/2022
0,0.040726125,21,12,47,0,0,0,8,2,2,1,True,,2,107.8,24.1,Indian Super league 2021/2022
0,0.042147122,22,41,50,5,1,1,2,1,2,1,,,3,95.0,39.6,Indian Super league 2021/2022
0,0.005957665,24,29,54,2,0,0,8,2,2,0,,,2,83.9,23.0,Indian Super league 2021/2022
0,0.03166655,26,3,59,5,0,0,12,1,2,1,,,0,103.7,48.8,Indian Super league 2021/2022
0,0.09190432,30,41,67,1,0,0,8,1,2,1,,,3,112.9,30.7,Indian Super league 2021/2022
0,0.07869804,32,35,71,4,1,1,2,1,2,1,,,0,109.2,27.0,Indian Super league 2021/2022
0,0.2887673,33,29,72,0,1,1,1,0,2,1,,,4,115.7,37.3,Indian Super league 2021/2022
0,0.5578215,36,39,79,2,0,0,5,1,1,1,True,,2,115.1,38.4,Indian Super league 2021/2022
0,0.0517507,47,31,102,5,0,0,6,2,2,1,,,0,97.4,34.6,Indian Super league 2021/2022
0,0.040655825,48,3,103,0,0,0,3,2,1,1,,,0,100.3,46.8,Indian Super league 2021/2022
0,0.07318571,48,38,103,0,0,0,8,1,2,1,,,0,103.3,42.7,Indian Super league 2021/2022
0,0.02486557,48,16,113,2,1,1,1,1,2,1,,,0,101.2,22.1,Indian Super league 2021/2022
